ProductionKey,ProductionRecordID,ProductionDateKey,ProductKey,Factory,ProductionLine,Shift,PlannedQuantity,ActualQuantity,DefectQuantity,YieldRate,WorkHours,DowntimeMinutes
31,MFG-00031,20250303,8,本社工場,ライン-B,夜勤,100,84,16,0.8481,4.1,3
32,MFG-00032,20250203,9,第二工場,ライン-E,日勤,50,48,2,0.9645,8.8,1
33,MFG-00033,20251231,18,本社工場,ライン-E,夜勤,1000,997,3,0.9971,9.6,2
34,MFG-00034,20250620,6,九州工場,ライン-C,夜勤,5,4,1,0.9715,8.1,8
35,MFG-00035,20251028,1,本社工場,ライン-B,日勤,100,98,2,0.9863,9.0,110
36,MFG-00036,20250913,10,本社工場,ライン-B,夜勤,100,88,12,0.8885,8.8,5
37,MFG-00037,20250310,9,九州工場,ライン-C,日勤,200,196,4,0.9811,6.3,99
38,MFG-00038,20250625,8,九州工場,ライン-B,日勤,1000,961,39,0.9619,9.5,9
39,MFG-00039,20260323,13,第二工場,ライン-E,日勤,5,4,1,0.9534,5.5,2
40,MFG-00040,20250415,5,本社工場,ライン-A,日勤,100,98,2,0.9848,6.5,3
41,MFG-00041,20250806,6,本社工場,ライン-E,夜勤,10,9,1,0.963,10.3,107
42,MFG-00042,20250723,13,第二工場,ライン-B,夜勤,10,9,1,0.9575,11.6,6
43,MFG-00043,20250807,3,九州工場,ライン-C,日勤,200,193,7,0.9683,6.4,8
44,MFG-00044,20251107,16,第二工場,ライン-A,日勤,500,496,4,0.994,4.0,5
45,MFG-00045,20250909,13,第二工場,ライン-D,夜勤,10,9,1,0.9534,11.1,1
46,MFG-00046,20250717,19,本社工場,ライン-B,夜勤,1000,986,14,0.9861,6.8,10
47,MFG-00047,20251219,12,九州工場,ライン-A,夜勤,20,19,1,0.9517,10.5,10
48,MFG-00048,20250115,5,九州工場,ライン-C,夜勤,1000,961,39,0.9619,8.6,2
49,MFG-00049,20250107,4,九州工場,ライン-A,夜勤,200,198,2,0.9932,8.1,6
50,MFG-00050,20250326,14,九州工場,ライン-C,夜勤,10,9,1,0.9781,9.9,1
51,MFG-00051,20250225,19,本社工場,ライン-C,夜勤,500,484,16,0.9691,6.5,7
52,MFG-00052,20250101,4,九州工場,ライン-A,夜勤,200,197,3,0.9852,5.4,2
53,MFG-00053,20250412,16,九州工場,ライン-B,日勤,200,191,9,0.9589,4.5,3
54,MFG-00054,20250513,14,九州工場,ライン-D,日勤,5,4,1,0.9681,6.2,9
55,MFG-00055,20250501,16,九州工場,ライン-D,日勤,50,49,1,0.9959,9.3,0
56,MFG-00056,20250219,7,本社工場,ライン-E,夜勤,50,49,1,0.9947,7.8,6
57,MFG-00057,20250622,12,第二工場,ライン-C,日勤,20,19,1,0.9527,6.8,1
58,MFG-00058,20250102,15,九州工場,ライン-D,日勤,50,48,2,0.9755,11.6,3
59,MFG-00059,20250708,15,九州工場,ライン-E,夜勤,200,190,10,0.9502,9.1,5
60,MFG-00060,20250109,12,九州工場,ライン-A,夜勤,5,4,1,0.9855,10.4,7
61,MFG-00061,20251204,4,第二工場,ライン-D,日勤,500,496,4,0.9921,10.3,0
62,MFG-00062,20250307,16,第二工場,ライン-A,夜勤,100,95,5,0.9556,9.3,3
63,MFG-00063,20250329,3,第二工場,ライン-A,日勤,100,99,1,0.9933,10.1,4
64,MFG-00064,20251207,16,九州工場,ライン-A,日勤,1000,973,27,0.9736,10.4,3
65,MFG-00065,20251022,20,九州工場,ライン-A,夜勤,200,197,3,0.9853,7.1,8
66,MFG-00066,20260315,14,本社工場,ライン-B,夜勤,5,4,1,0.9855,11.5,1
67,MFG-00067,20251021,12,第二工場,ライン-B,夜勤,5,4,1,0.9757,10.8,5
68,MFG-00068,20260130,12,九州工場,ライン-B,日勤,5,4,1,0.9652,10.5,3
69,MFG-00069,20250913,15,九州工場,ライン-B,夜勤,100,98,2,0.9885,9.6,4
70,MFG-00070,20250915,4,九州工場,ライン-C,夜勤,200,192,8,0.964,11.7,100
71,MFG-00071,20250320,7,九州工場,ライン-B,日勤,20,19,1,0.9849,6.4,2
72,MFG-00072,20250112,18,第二工場,ライン-D,夜勤,500,493,7,0.9864,7.1,4
73,MFG-00073,20250525,7,第二工場,ライン-E,日勤,20,19,1,0.9886,10.8,7
74,MFG-00074,20251202,6,本社工場,ライン-E,夜勤,5,4,1,0.9605,10.0,0
75,MFG-00075,20250705,19,九州工場,ライン-A,日勤,200,196,4,0.9826,5.3,106
76,MFG-00076,20250831,6,本社工場,ライン-A,夜勤,50,48,2,0.9694,4.3,7
77,MFG-00077,20250604,20,九州工場,ライン-B,夜勤,500,491,9,0.9822,4.7,10
78,MFG-00078,20250715,9,第二工場,ライン-D,日勤,100,97,3,0.9735,9.4,0
79,MFG-00079,20251028,19,第二工場,ライン-E,夜勤,500,489,11,0.9785,7.1,6
80,MFG-00080,20250602,19,本社工場,ライン-B,夜勤,50,49,1,0.9882,5.5,0
81,MFG-00081,20250721,18,九州工場,ライン-E,夜勤,50,48,2,0.9759,10.6,3
82,MFG-00082,20251204,4,九州工場,ライン-B,日勤,50,48,2,0.9651,4.3,10
83,MFG-00083,20250324,3,第二工場,ライン-E,日勤,50,48,2,0.9643,11.7,10
84,MFG-00084,20250101,8,本社工場,ライン-C,夜勤,500,488,12,0.9777,9.6,5
85,MFG-00085,20251107,18,本社工場,ライン-E,日勤,500,377,123,0.7555,5.1,3
86,MFG-00086,20250310,20,本社工場,ライン-E,夜勤,100,97,3,0.9703,8.4,10
87,MFG-00087,20250325,13,本社工場,ライン-D,夜勤,50,47,3,0.9598,9.0,10
88,MFG-00088,20251223,7,九州工場,ライン-C,日勤,5,4,1,0.9708,4.2,1
89,MFG-00089,20250519,4,本社工場,ライン-E,夜勤,50,48,2,0.9674,6.7,3
90,MFG-00090,20250521,1,第二工場,ライン-A,日勤,200,198,2,0.9944,5.4,4
91,MFG-00091,20251029,16,九州工場,ライン-A,夜勤,500,488,12,0.9765,8.9,2
92,MFG-00092,20250612,13,第二工場,ライン-B,夜勤,5,4,1,0.827,5.2,6
93,MFG-00093,20251018,9,九州工場,ライン-A,夜勤,500,489,11,0.9792,9.7,5
94,MFG-00094,20260213,15,第二工場,ライン-E,夜勤,1000,984,16,0.9845,11.4,10
95,MFG-00095,20260316,3,第二工場,ライン-C,夜勤,500,476,24,0.9537,5.9,162
96,MFG-00096,20250130,3,九州工場,ライン-C,夜勤,500,446,54,0.8923,9.4,2
97,MFG-00097,20250903,16,九州工場,ライン-E,日勤,200,198,2,0.9937,10.0,8
98,MFG-00098,20260119,12,九州工場,ライン-B,日勤,50,49,1,0.9923,8.2,1
99,MFG-00099,20250707,5,第二工場,ライン-E,日勤,200,193,7,0.9679,4.9,3
100,MFG-00100,20260302,18,第二工場,ライン-A,夜勤,200,190,10,0.9501,9.0,4
101,MFG-00101,20251126,17,第二工場,ライン-A,夜勤,50,40,10,0.8191,6.4,5
102,MFG-00102,20260105,6,第二工場,ライン-D,日勤,10,9,1,0.9747,5.2,7
103,MFG-00103,20250104,5,本社工場,ライン-C,夜勤,200,194,6,0.9706,5.5,1
104,MFG-00104,20250813,15,本社工場,ライン-B,夜勤,500,441,59,0.8825,9.7,4
105,MFG-00105,20250121,5,第二工場,ライン-D,夜勤,1000,959,41,0.9596,7.8,4
106,MFG-00106,20250302,14,九州工場,ライン-D,夜勤,20,19,1,0.9867,11.1,6
107,MFG-00107,20250309,4,本社工場,ライン-A,日勤,100,98,2,0.9868,5.9,5
108,MFG-00108,20250808,20,第二工場,ライン-A,夜勤,100,98,2,0.9865,6.0,8
109,MFG-00109,20250406,8,本社工場,ライン-C,夜勤,1000,989,11,0.9894,5.6,1
110,MFG-00110,20251225,17,本社工場,ライン-E,日勤,1000,980,20,0.9805,5.8,0
111,MFG-00111,20250521,7,第二工場,ライン-B,日勤,5,4,1,0.9696,6.5,3
112,MFG-00112,20250424,11,第二工場,ライン-D,日勤,200,192,8,0.9646,6.2,5
113,MFG-00113,20251231,14,第二工場,ライン-B,日勤,5,4,1,0.9654,6.3,9
114,MFG-00114,20250221,14,第二工場,ライン-B,夜勤,10,9,1,0.9507,8.4,5
115,MFG-00115,20250704,12,九州工場,ライン-E,夜勤,5,4,1,0.9542,4.9,9
116,MFG-00116,20250303,2,九州工場,ライン-E,日勤,100,95,5,0.9547,11.5,4
117,MFG-00117,20260107,16,九州工場,ライン-B,日勤,50,48,2,0.9764,6.0,8
118,MFG-00118,20250627,12,九州工場,ライン-D,日勤,5,4,1,0.9947,8.0,168
119,MFG-00119,20250521,5,本社工場,ライン-C,日勤,500,492,8,0.9856,7.2,8
120,MFG-00120,20250208,6,九州工場,ライン-D,夜勤,10,9,1,0.9599,4.0,9
121,MFG-00121,20251223,1,第二工場,ライン-E,夜勤,100,98,2,0.984,8.4,0
122,MFG-00122,20251001,8,本社工場,ライン-C,日勤,1000,956,44,0.9564,11.0,78
123,MFG-00123,20260226,7,本社工場,ライン-E,日勤,10,9,1,0.9656,11.6,4
124,MFG-00124,20260105,5,九州工場,ライン-D,夜勤,100,98,2,0.9892,10.6,4
125,MFG-00125,20250401,9,九州工場,ライン-A,日勤,500,497,3,0.9954,6.1,9
126,MFG-00126,20251010,7,本社工場,ライン-D,夜勤,10,9,1,0.9861,5.2,6
127,MFG-00127,20250708,5,本社工場,ライン-D,夜勤,100,99,1,0.9914,5.5,2
128,MFG-00128,20251128,10,第二工場,ライン-A,日勤,500,491,9,0.983,5.5,6
129,MFG-00129,20250506,15,本社工場,ライン-D,日勤,500,489,11,0.979,7.0,18
130,MFG-00130,20260126,2,本社工場,ライン-B,日勤,100,97,3,0.9788,10.3,42
131,MFG-00131,20251005,11,本社工場,ライン-A,日勤,200,194,6,0.9713,5.3,2
132,MFG-00132,20250505,2,九州工場,ライン-E,夜勤,200,197,3,0.9896,4.8,8
133,MFG-00133,20260330,14,本社工場,ライン-B,日勤,10,9,1,0.9815,5.8,6
134,MFG-00134,20251218,4,本社工場,ライン-D,日勤,100,96,4,0.9635,4.6,5
135,MFG-00135,20250213,2,本社工場,ライン-E,日勤,200,191,9,0.9587,7.4,10
136,MFG-00136,20250604,20,第二工場,ライン-C,日勤,100,96,4,0.9677,6.1,1
137,MFG-00137,20260208,1,九州工場,ライン-B,日勤,100,98,2,0.9846,10.3,1
138,MFG-00138,20250227,19,九州工場,ライン-D,夜勤,100,95,5,0.9561,10.1,7
139,MFG-00139,20250806,16,九州工場,ライン-D,夜勤,100,99,1,0.9942,7.1,8
140,MFG-00140,20251001,16,九州工場,ライン-E,日勤,200,194,6,0.9702,8.6,3
141,MFG-00141,20251226,3,第二工場,ライン-B,日勤,100,96,4,0.9674,7.8,1
142,MFG-00142,20250131,12,本社工場,ライン-C,夜勤,20,19,1,0.9947,7.4,3
143,MFG-00143,20250129,5,九州工場,ライン-A,日勤,200,178,22,0.8947,7.0,10
144,MFG-00144,20251025,3,九州工場,ライン-D,日勤,50,47,3,0.9538,4.6,6
145,MFG-00145,20250318,6,九州工場,ライン-D,日勤,20,19,1,0.9698,6.7,0
146,MFG-00146,20250527,4,本社工場,ライン-B,日勤,200,191,9,0.9577,7.2,7
147,MFG-00147,20251011,9,九州工場,ライン-E,夜勤,500,478,22,0.9575,11.8,2
148,MFG-00148,20260116,7,九州工場,ライン-D,日勤,5,4,1,0.9768,10.7,7
149,MFG-00149,20250902,11,第二工場,ライン-D,日勤,50,48,2,0.9704,6.2,5
150,MFG-00150,20251105,11,本社工場,ライン-A,夜勤,100,96,4,0.9602,4.1,3
151,MFG-00151,20251010,7,本社工場,ライン-A,夜勤,10,8,2,0.898,7.9,38
152,MFG-00152,20250608,1,第二工場,ライン-C,夜勤,200,193,7,0.9688,6.8,10
153,MFG-00153,20250219,11,九州工場,ライン-D,日勤,200,190,10,0.9511,10.4,0
154,MFG-00154,20250529,6,九州工場,ライン-B,夜勤,10,9,1,0.9611,5.7,2
155,MFG-00155,20260129,6,九州工場,ライン-E,夜勤,5,4,1,0.9799,11.5,114
156,MFG-00156,20250503,7,九州工場,ライン-E,日勤,10,9,1,0.9547,4.1,4
157,MFG-00157,20251008,3,本社工場,ライン-D,夜勤,100,95,5,0.9578,6.2,1
158,MFG-00158,20250206,6,第二工場,ライン-D,夜勤,20,19,1,0.9944,11.5,7
159,MFG-00159,20250121,12,第二工場,ライン-C,夜勤,50,48,2,0.9676,10.8,5
160,MFG-00160,20250212,14,第二工場,ライン-E,夜勤,50,44,6,0.8966,4.5,8
161,MFG-00161,20250105,5,第二工場,ライン-A,夜勤,100,95,5,0.9535,7.1,1
162,MFG-00162,20250628,15,九州工場,ライン-D,夜勤,100,95,5,0.9552,11.7,6
163,MFG-00163,20250413,13,本社工場,ライン-C,夜勤,10,9,1,0.9856,4.9,8
164,MFG-00164,20250321,16,九州工場,ライン-B,日勤,100,84,16,0.8402,7.0,5
165,MFG-00165,20260209,14,本社工場,ライン-D,日勤,5,4,1,0.9703,6.0,2
166,MFG-00166,20250205,9,本社工場,ライン-D,夜勤,500,485,15,0.9701,5.7,2
167,MFG-00167,20260302,2,第二工場,ライン-A,夜勤,1000,959,41,0.9595,11.5,8
168,MFG-00168,20251219,6,第二工場,ライン-D,夜勤,10,9,1,0.9595,9.8,2
169,MFG-00169,20250615,11,本社工場,ライン-A,夜勤,1000,965,35,0.9652,10.3,4
170,MFG-00170,20250924,1,本社工場,ライン-D,夜勤,200,190,10,0.9518,10.0,8
171,MFG-00171,20260201,6,第二工場,ライン-E,日勤,50,48,2,0.9777,4.1,0
172,MFG-00172,20250604,10,本社工場,ライン-E,夜勤,200,193,7,0.9697,6.8,8
173,MFG-00173,20260127,11,本社工場,ライン-A,夜勤,200,195,5,0.9786,8.3,10
174,MFG-00174,20251219,14,九州工場,ライン-C,日勤,20,19,1,0.9812,8.9,7
175,MFG-00175,20260119,20,本社工場,ライン-E,夜勤,200,196,4,0.9821,10.8,7
176,MFG-00176,20251010,13,本社工場,ライン-A,夜勤,10,9,1,0.9723,11.3,6
177,MFG-00177,20250104,12,九州工場,ライン-B,夜勤,20,19,1,0.9933,11.3,0
178,MFG-00178,20250801,2,本社工場,ライン-A,日勤,500,487,13,0.9749,9.9,2
179,MFG-00179,20251020,14,九州工場,ライン-B,夜勤,10,9,1,0.9885,8.6,10
180,MFG-00180,20250719,6,第二工場,ライン-D,日勤,5,4,1,0.9742,9.1,10
181,MFG-00181,20250514,18,第二工場,ライン-B,日勤,50,37,13,0.7517,10.2,9
182,MFG-00182,20251229,18,九州工場,ライン-A,夜勤,50,49,1,0.9972,9.1,2
183,MFG-00183,20250503,8,本社工場,ライン-C,日勤,500,484,16,0.9681,6.1,36
184,MFG-00184,20250315,1,本社工場,ライン-E,日勤,200,191,9,0.9551,6.3,1
185,MFG-00185,20250209,16,本社工場,ライン-C,夜勤,100,96,4,0.9699,7.9,3
186,MFG-00186,20251218,14,第二工場,ライン-D,夜勤,5,3,2,0.7768,8.5,0
187,MFG-00187,20250302,11,第二工場,ライン-C,日勤,100,99,1,0.9945,5.5,20
188,MFG-00188,20250923,17,本社工場,ライン-B,夜勤,100,96,4,0.9657,5.8,2
189,MFG-00189,20250518,9,本社工場,ライン-D,日勤,100,96,4,0.9641,10.0,8
190,MFG-00190,20250724,7,本社工場,ライン-C,日勤,20,19,1,0.9689,8.7,4
191,MFG-00191,20250326,7,第二工場,ライン-D,夜勤,20,19,1,0.9799,8.9,9
192,MFG-00192,20250630,12,第二工場,ライン-A,日勤,50,48,2,0.9697,8.8,8
193,MFG-00193,20250630,13,本社工場,ライン-A,日勤,10,9,1,0.9618,5.7,2
194,MFG-00194,20260204,11,本社工場,ライン-A,夜勤,500,480,20,0.9603,8.5,3
195,MFG-00195,20251015,3,第二工場,ライン-D,日勤,200,192,8,0.9633,8.9,10
196,MFG-00196,20250208,19,九州工場,ライン-D,夜勤,100,95,5,0.9595,10.4,4
197,MFG-00197,20250804,4,第二工場,ライン-A,日勤,200,192,8,0.9613,4.2,162
198,MFG-00198,20250103,15,本社工場,ライン-C,夜勤,50,48,2,0.9753,6.7,135
199,MFG-00199,20250218,14,第二工場,ライン-C,夜勤,10,9,1,0.965,8.9,7
200,MFG-00200,20250910,4,九州工場,ライン-C,日勤,50,37,13,0.7516,4.8,6
201,MFG-00201,20250426,6,本社工場,ライン-A,夜勤,10,8,2,0.8532,4.4,0
202,MFG-00202,20250226,2,本社工場,ライン-C,夜勤,100,98,2,0.989,6.2,2
203,MFG-00203,20251026,15,本社工場,ライン-A,夜勤,500,496,4,0.9926,11.7,7
204,MFG-00204,20251209,4,九州工場,ライン-E,日勤,200,199,1,0.9969,6.6,3
205,MFG-00205,20250217,9,九州工場,ライン-C,日勤,200,192,8,0.9616,9.2,1
206,MFG-00206,20250208,16,本社工場,ライン-A,日勤,500,484,16,0.9685,7.9,9
207,MFG-00207,20260125,17,第二工場,ライン-E,夜勤,500,495,5,0.9907,4.8,5
208,MFG-00208,20250717,15,九州工場,ライン-E,日勤,500,481,19,0.9633,5.3,9
209,MFG-00209,20251128,4,第二工場,ライン-B,日勤,500,496,4,0.9929,5.5,150
210,MFG-00210,20250820,12,本社工場,ライン-C,日勤,5,4,1,0.9707,6.7,5
211,MFG-00211,20250220,2,九州工場,ライン-D,夜勤,100,95,5,0.9585,6.2,8
212,MFG-00212,20250810,4,九州工場,ライン-A,日勤,1000,952,48,0.9526,4.3,1
213,MFG-00213,20250930,4,本社工場,ライン-C,夜勤,200,197,3,0.9852,11.0,3
214,MFG-00214,20250329,7,九州工場,ライン-C,夜勤,5,3,2,0.7778,11.3,4
215,MFG-00215,20260313,8,第二工場,ライン-B,日勤,100,97,3,0.9719,11.7,6
216,MFG-00216,20250621,1,第二工場,ライン-B,日勤,100,95,5,0.9505,6.8,0
217,MFG-00217,20250908,8,本社工場,ライン-D,日勤,500,498,2,0.9975,10.7,2
218,MFG-00218,20260122,5,本社工場,ライン-A,夜勤,500,486,14,0.9736,6.8,10
219,MFG-00219,20250907,9,第二工場,ライン-C,日勤,500,483,17,0.966,8.1,9
220,MFG-00220,20250905,4,九州工場,ライン-C,日勤,100,96,4,0.9606,12.0,0
221,MFG-00221,20250506,19,第二工場,ライン-D,日勤,500,497,3,0.9958,9.1,10
222,MFG-00222,20251214,18,九州工場,ライン-D,日勤,100,99,1,0.9926,7.1,4
223,MFG-00223,20250608,7,九州工場,ライン-A,夜勤,5,4,1,0.9772,10.3,1
224,MFG-00224,20250105,16,第二工場,ライン-B,日勤,200,195,5,0.9768,5.3,1
225,MFG-00225,20260214,10,第二工場,ライン-A,日勤,100,95,5,0.9559,7.9,105
226,MFG-00226,20251205,1,第二工場,ライン-A,日勤,200,198,2,0.9912,9.3,2
227,MFG-00227,20250214,9,九州工場,ライン-B,日勤,200,192,8,0.964,4.3,3
228,MFG-00228,20260220,13,第二工場,ライン-D,日勤,50,47,3,0.9583,7.5,9
229,MFG-00229,20250313,7,本社工場,ライン-C,夜勤,10,9,1,0.9772,9.0,6
230,MFG-00230,20260205,14,本社工場,ライン-A,夜勤,10,9,1,0.9672,6.8,6
231,MFG-00231,20250825,1,本社工場,ライン-E,夜勤,50,49,1,0.9935,10.3,5
232,MFG-00232,20250307,20,九州工場,ライン-E,夜勤,50,47,3,0.956,9.4,8
233,MFG-00233,20250824,2,本社工場,ライン-A,夜勤,500,483,17,0.966,4.8,7
234,MFG-00234,20251220,11,本社工場,ライン-A,日勤,500,488,12,0.977,11.7,10
235,MFG-00235,20251124,5,九州工場,ライン-C,夜勤,500,494,6,0.9887,9.0,1
236,MFG-00236,20250101,5,本社工場,ライン-E,日勤,100,95,5,0.9512,8.0,1
237,MFG-00237,20250603,13,本社工場,ライン-D,日勤,10,9,1,0.9827,10.9,6
238,MFG-00238,20250316,1,本社工場,ライン-B,日勤,100,97,3,0.9762,7.8,10
239,MFG-00239,20250221,19,第二工場,ライン-D,夜勤,200,191,9,0.9552,7.3,0
240,MFG-00240,20250526,15,九州工場,ライン-A,夜勤,50,49,1,0.981,11.1,0
241,MFG-00241,20250701,5,九州工場,ライン-D,夜勤,100,96,4,0.9672,10.8,5
242,MFG-00242,20251228,17,九州工場,ライン-D,日勤,100,98,2,0.9815,8.5,2
243,MFG-00243,20250523,10,本社工場,ライン-D,夜勤,200,196,4,0.9816,8.6,10
244,MFG-00244,20250927,9,九州工場,ライン-B,夜勤,200,195,5,0.9781,10.6,22
245,MFG-00245,20260313,6,本社工場,ライン-B,日勤,20,19,1,0.9611,10.2,3
246,MFG-00246,20250223,6,第二工場,ライン-D,日勤,5,4,1,0.8625,7.5,10
247,MFG-00247,20260307,1,第二工場,ライン-B,日勤,500,498,2,0.9975,8.6,4
248,MFG-00248,20250909,15,本社工場,ライン-C,日勤,500,487,13,0.9754,10.3,21
249,MFG-00249,20251119,4,本社工場,ライン-B,日勤,500,484,16,0.9696,8.4,62
250,MFG-00250,20251216,17,本社工場,ライン-D,日勤,200,193,7,0.9669,8.9,2
251,MFG-00251,20260215,3,第二工場,ライン-D,夜勤,500,478,22,0.9561,8.1,7
252,MFG-00252,20250429,2,九州工場,ライン-E,夜勤,50,48,2,0.9639,10.6,5
253,MFG-00253,20250204,6,本社工場,ライン-C,日勤,50,48,2,0.9692,4.5,1
254,MFG-00254,20251026,16,九州工場,ライン-C,日勤,50,47,3,0.9596,11.1,67
255,MFG-00255,20251008,11,本社工場,ライン-A,夜勤,50,49,1,0.9934,9.6,0
256,MFG-00256,20250627,3,九州工場,ライン-D,日勤,500,478,22,0.9562,9.8,7
257,MFG-00257,20250917,8,第二工場,ライン-C,夜勤,100,99,1,0.9966,4.2,65
258,MFG-00258,20251001,20,九州工場,ライン-D,日勤,200,197,3,0.9868,9.6,6
259,MFG-00259,20251009,5,第二工場,ライン-A,日勤,500,483,17,0.9677,5.5,0
260,MFG-00260,20250502,8,九州工場,ライン-A,日勤,100,99,1,0.9926,10.3,0
261,MFG-00261,20260324,8,本社工場,ライン-A,日勤,100,95,5,0.9521,6.8,3
262,MFG-00262,20250530,5,第二工場,ライン-E,夜勤,500,476,24,0.9537,11.5,5
263,MFG-00263,20260316,8,九州工場,ライン-D,夜勤,1000,964,36,0.964,9.2,4
264,MFG-00264,20250613,18,本社工場,ライン-E,日勤,100,99,1,0.9956,7.9,50
265,MFG-00265,20260307,17,第二工場,ライン-B,日勤,100,98,2,0.9878,4.3,7
266,MFG-00266,20251129,15,本社工場,ライン-A,夜勤,500,489,11,0.9782,6.4,0
267,MFG-00267,20250523,20,第二工場,ライン-D,日勤,500,476,24,0.9521,5.6,6
268,MFG-00268,20250930,2,本社工場,ライン-C,夜勤,1000,986,14,0.9862,6.7,4
269,MFG-00269,20260219,19,本社工場,ライン-B,夜勤,500,495,5,0.9916,10.3,0
270,MFG-00270,20260218,4,第二工場,ライン-E,夜勤,500,486,14,0.9722,8.6,8
271,MFG-00271,20250514,6,第二工場,ライン-D,日勤,5,4,1,0.9956,4.7,8
272,MFG-00272,20250601,11,第二工場,ライン-E,日勤,200,196,4,0.9816,10.3,9
273,MFG-00273,20250107,4,九州工場,ライン-C,夜勤,500,485,15,0.9713,4.1,24
274,MFG-00274,20250703,16,本社工場,ライン-E,夜勤,50,48,2,0.9633,8.9,1
275,MFG-00275,20250814,6,第二工場,ライン-C,夜勤,5,4,1,0.9571,8.9,44
276,MFG-00276,20251202,2,九州工場,ライン-B,夜勤,200,171,29,0.8576,4.5,4
277,MFG-00277,20250512,1,九州工場,ライン-C,日勤,200,190,10,0.9537,7.6,3
278,MFG-00278,20250415,11,第二工場,ライン-E,夜勤,50,48,2,0.9636,4.2,5
279,MFG-00279,20250621,14,第二工場,ライン-C,夜勤,5,4,1,0.8895,11.3,170
280,MFG-00280,20250419,11,九州工場,ライン-E,夜勤,1000,977,23,0.978,9.3,10
281,MFG-00281,20250210,3,九州工場,ライン-B,夜勤,200,198,2,0.9922,10.4,10
282,MFG-00282,20250926,17,第二工場,ライン-D,夜勤,100,99,1,0.9937,6.6,5
283,MFG-00283,20250429,15,九州工場,ライン-C,日勤,500,497,3,0.996,7.3,158
284,MFG-00284,20250916,3,九州工場,ライン-C,夜勤,200,194,6,0.9701,8.6,2
285,MFG-00285,20251003,8,九州工場,ライン-D,日勤,200,193,7,0.9664,4.9,8
286,MFG-00286,20250317,19,九州工場,ライン-D,日勤,500,475,25,0.9507,5.0,8
287,MFG-00287,20251231,16,本社工場,ライン-A,日勤,500,387,113,0.775,4.6,8
288,MFG-00288,20250718,14,本社工場,ライン-C,夜勤,5,4,1,0.9662,10.6,9
289,MFG-00289,20251112,4,本社工場,ライン-A,夜勤,1000,980,20,0.9803,9.9,7
290,MFG-00290,20251225,5,九州工場,ライン-B,日勤,100,83,17,0.839,9.4,5
